_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD_NAME,X,Y,LONGITUDE,LATITUDE,MI_PRINX,OBJECTID,CAPACITY,MULTIMODAL,SEASONAL,SHELTERED,SURFACE,STATUS,LOCATION,NOTES,MAP_CLASS,geometry
1188,7796281,285,Dundas St W,285 Dundas St W,M5T 1G1,former TORONTO,Toronto,7796276,285,,,,558,Spadina-Fort York (1010),313600.062,4834924.165,-79.3909059,43.65421756,2196493,224,5,No,No,,concrete,Proposed,front of walk,Angled,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3909026634, 43.6542089842)}"
1189,7777919,3060,Yonge St,3060 Yonge St,,former TORONTO,Toronto,7762807,3060,,,,4733,Eglinton-Lawrence (808),312654.175,4842807.314,-79.40251751,43.72518665,2681082,225,8,Yes,No,,concrete,Proposed,front of walk,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4025142659, 43.7251780536)}"
1190,7850057,3205,Yonge St,3205 Yonge St,M4N 2L3,former TORONTO,Toronto,7850028,3205,,,,4733,Don Valley West (1515),312638.088,4843122.038,-79.40271259,43.72801972,1694832,226,8,No,No,,concrete,Installed,back of walk,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4027093519, 43.7280111262)}"
1191,8417594,384,Bloor St W,384 Bloor St W,M5S 1X2,former TORONTO,Toronto,8417592,384,,,,458,University-Rosedale (1111),312333.643,4836267.96,-79.40658735,43.66632742,2164649,227,8,No,No,,asphalt,Installed,,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4065841126, 43.6663188369)}"
1192,8680823,4,Thorncliffe Park Dr,4 Thorncliffe Park Dr,M4H 1H1,EAST YORK,Toronto,8680820,4,,,,354,Don Valley West (1515),316815.213,4840701.993,-79.35091797,43.70618046,2817076,228,8,No,No,,concrete pad,Installed,boulevard,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3509147456, 43.7061718642)}"
1193,7730103,415,Yonge St,415 Yonge St,M5B 2E7,former TORONTO,Toronto,7730098,415,,,,4733,Toronto Centre (1313),314319.986,4835544.323,-79.38196661,43.65978236,3836233,229,8,No,No,,concrete,Installed,front of walk,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3819666068, 43.6597823659)}"
1194,6349941,438,University Ave,438 University Ave,M5G 2K8,former TORONTO,Toronto,6349934,438,,,,4583,Spadina-Fort York (1010),313771.549,4834941.469,-79.38877963,43.65437128,1712532,230,8,Yes,No,,concrete,Installed,front of walk,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3887763977, 43.6543626946)}"
1195,30013532,5,Sheppard Ave E,5 Sheppard Ave E,M2N 0G4,NORTH YORK,Toronto,11835329,5,,,,6698,Willowdale (1818),312062.621,4846830.834,-79.4098055,43.7614092,1769682,231,8,No,No,,concrete,Installed,front of walk,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4098022448, 43.7614006012)}"
1196,3841975,5100,Yonge St,5100 Yonge St,M2N 5V7,NORTH YORK,Toronto,3841982,5100,,,,4733,Willowdale (1818),311652.392,4847482.236,-79.41488874,43.76726788,3837871,232,64,No,No,,,Installed,,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.414888745, 43.7672678892)}"
1197,785468,703,College St,703 College St,M6G 1C2,former TORONTO,Toronto,1144625,703,,,,9765,University-Rosedale (1111),311416.421,4835017.195,-79.41797607,43.65507759,1591368,233,8,No,No,,asphalt,Proposed,boulevard,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4179728257, 43.6550690097)}"
1198,14121163,750,Bay St,750 Bay St,M5G 1N6,former TORONTO,Toronto,7792579,750,,,,2962,University-Rosedale (1111),314000.907,4835530.046,-79.38592618,43.65966645,2104056,234,8,No,No,,pavers,Installed,front of walk,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3859229381, 43.6596578703)}"
1199,8695865,1210,Yonge St,1210 Yonge St,M4T 1W1,former TORONTO,Toronto,8681095,1210,,,,4733,Toronto-St. Paul's (1212),313528.694,4837983.272,-79.39174119,43.68175441,2973936,235,10,Yes,No,,concrete,Installed,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3917379554, 43.6817458182)}"
1200,11272589,2190,Yonge St,2190 Yonge St,M4S 2B8,former TORONTO,Toronto,14230407,2190,,,,4733,Toronto-St. Paul's (1212),312992.021,4840603.6,-79.39835772,43.70534682,1657924,236,16,Yes,No,,concrete,Installed,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.398354474, 43.7053382317)}"
1201,30114495,2391,Lake Shore Blvd W,2391 Lake Shore Blvd W,M8V 1B7,ETOBICOKE,Toronto,913792,2391,,,,1962,Etobicoke-Lakeshore (303),305739.492,4830572.414,-79.48836035,43.61508866,4332502,237,8,No,No,,paver,Installed,adjacent to planter,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4883603536, 43.6150886595)}"
1202,7568709,2404-2406,Lake Shore Blvd W,2404-2406 Lake Shore Blvd W,M8V 1C4,ETOBICOKE,Toronto,7568677,2404,,2406,,1962,Etobicoke-Lakeshore (303),305682.685,4830548.916,-79.48906745,43.61488579,2151245,238,8,No,No,,paver,Installed,adjacent to planter,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4890641907, 43.6148772137)}"
